sender,receiver,message,date
vijaya,226f1a0529,"you are absent
",2026-02-11 12:46:52.435891
vijaya,226F1A0529,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.319701
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.322953
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.324199
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.325558
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.327819
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.329017
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.330317
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.331782
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.334149
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.335228
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.337211
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.339621
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.340621
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.341622
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.343621
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.345619
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.346620
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.348620
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.349620
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.350623
vijaya,226F1A0529,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.351639
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.353711
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.355652
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.358001
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.360002
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.362016
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.363011
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.365115
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.367161
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.369510
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.370511
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.373533
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.374552
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.376544
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.378952
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.379947
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.382266
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.383292
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.385298
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.386513
vijaya,226F1A0529,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.388609
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.389637
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.391688
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.392924
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.395143
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.396135
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.397142
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.399163
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.400164
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.402155
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.403176
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.404405
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.405719
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.407710
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.408973
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.411379
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.412381
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.414917
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.415922
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.417462
vijaya,226F1A0529,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.419478
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.420483
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.422480
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.423480
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.425480
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.427499
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.428784
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.429860
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.431893
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.433897
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.434895
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.436897
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.438898
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.440017
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.442447
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.443446
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.444743
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-11 13:18:41.447142
