sender,receiver,message,date
vijaya,226F1A0529,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.668908
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.673908
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.674908
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.675909
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.676907
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.677906
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.678906
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.678906
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.679923
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.680907
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.680907
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.681906
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.682906
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.683906
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.683906
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.684906
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.685906
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.686908
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.687909
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.689910
vijaya,226F1A0529,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.690907
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.691905
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.693930
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.694906
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.694906
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.695905
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.696906
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.697907
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.698907
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.699908
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.700908
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.701909
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.702908
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.703909
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.705923
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.706908
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.707908
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.707908
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.708908
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.709909
vijaya,226F1A0529,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.710908
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.710908
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.711908
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.712908
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.713909
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.713909
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.714908
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.715907
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.716906
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.717906
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.717906
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.718906
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.719909
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.721906
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.722911
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.723921
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.724931
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.725929
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.726929
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.727930
vijaya,226F1A0529,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.728931
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.728931
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.729931
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.730928
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.731930
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.732930
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.733929
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.733929
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.734929
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.735930
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.736930
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.737965
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.737965
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.739482
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.740493
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.741492
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.741492
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.742493
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.743493
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.744493
vijaya,HT1000,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.745493
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.745493
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.746494
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.747493
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.748494
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.748494
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.749494
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.750493
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.751495
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.752493
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.753494
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.754493
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.755501
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.756494
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.757493
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.758492
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.759491
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.759491
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.760491
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.761491
vijaya,HT1000,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.762491
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.763490
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.763490
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.764491
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.765491
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.766492
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.767493
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.768491
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.769491
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.770491
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.770491
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.771491
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.772492
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.773493
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.774508
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.775494
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.776494
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.777491
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.777491
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.778493
vijaya,HT1000,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.779493
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.780493
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.780493
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.781493
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.782493
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.783493
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.784492
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.785493
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.785493
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.786492
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.787491
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.788491
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.789493
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.790511
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.791491
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.792491
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.793493
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.794492
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.794492
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.795491
vijaya,HT1000,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.796492
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.797492
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.798491
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.798491
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.799493
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.800492
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.801492
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.802490
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.803490
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.803490
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.804730
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.805748
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.807070
vijaya,HT1013,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.808063
vijaya,HT1014,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.809095
vijaya,HT1015,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.810442
vijaya,HT1016,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.811477
vijaya,HT1017,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.812943
vijaya,HT1018,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.814290
vijaya,HT1019,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.815712
vijaya,HT1000,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.816724
vijaya,HT1001,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.816724
vijaya,HT1002,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.817880
vijaya,HT1003,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.818893
vijaya,HT1004,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.819894
vijaya,HT1005,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.820894
vijaya,HT1006,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.821894
vijaya,HT1007,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.821894
vijaya,HT1008,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.823400
vijaya,HT1009,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.824619
vijaya,HT1010,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.825633
vijaya,HT1011,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.826632
vijaya,HT1012,📌 Attendance Update: You are Present for today.,2026-02-22 20:46:41.826632
